"","year","week","narticle","fbshares","fblikes","fbcomments","fbpostings","fbtotals","date","word_rank","rank.art","rank_portion","fbnorm"
"1","2014","1","1773","711","7644","369","52","8724","20141128","0","5","0.1","167.769230769231"
"2","2014","2","1695","387","6693","257","55","7337","20141205","0","13","0.26","133.4"
"3","2014","3","1550","186","2429","82","37","2697","20141212","0.0666666666666667","10","0.2","72.8918918918919"
"4","2014","4","433","186","1408","25","16","1619","20141219","0","13","0.26","101.1875"
"5","2014","5","401","79","626","15","9","720","20141226","0","13","0.26","80"
"6","2014","6","630","44","936","26","14","1006","20150102","0","11","0.22","71.8571428571429"
"7","2014","7","751","147","1965","76","11","2188","20150109","0","11","0.22","198.909090909091"
"8","2014","8","177","40","919","33","2","992","20150116","0","16","0.32","496"
"9","2014","9","170","208","2154","48","4","2410","20150123","0","13","0.26","602.5"
"10","2014","10","55","0","0","0","0","0","20150130","0","12","0.24","NaN"
"11","2014","11","46","4","76","1","1","81","20150206","0","11","0.22","81"
"12","2014","12","27","0","0","0","0","0","20150213","0","11","0.22","NaN"
"13","2014","13","63","1","2","0","1","3","20150220","0","12","0.24","3"
"14","2014","14","41","22","270","26","1","318","20150227","0","10","0.2","318"
"15","2014","15","0","0","0","0","0","0","20150306","0","11","0.22","NaN"
"16","2014","16","0","0","0","0","0","0","20150313","0","13","0.26","NaN"
"17","2016","1","9355","6929","45953","2111","233","54993","20160923","0.0666666666666667","9","0.18","236.021459227468"
"18","2016","2","827","29809","25979","1208","10","56996","20160930","0","4","0.08","5699.6"
"19","2016","3","915","840","2577","163","10","3580","20161007","0","10","0.2","358"
"20","2016","4","1338","8625","21024","788","18","30437","20161014","0","9","0.18","1690.94444444444"
"21","2016","5","6511","19572","100582","9065","42","129219","20161021","0.1","13","0.26","3076.64285714286"
"22","2016","6","8738","25186","134321","18421","113","177928","20161028","0.6","30","0.6","1574.58407079646"
"23","2016","7","7989","11162","62474","7687","78","81323","20161104","0.466666666666667","30","0.6","1042.60256410256"
"24","2016","8","9281","30803","229951","29657","203","290411","20161111","0.3","27","0.54","1430.5960591133"
"25","2016","9","10173","20815","128066","24904","123","173785","20161118","0.266666666666667","28","0.56","1412.88617886179"
"26","2016","10","10636","18627","129499","37886","118","186012","20161125","0.166666666666667","28","0.56","1576.37288135593"
"27","2016","11","10601","41548","237919","109653","158","389120","20161202","0.266666666666667","28","0.56","2462.78481012658"
"28","2016","12","12002","22360","181153","80699","161","284212","20161209","0.566666666666667","27","0.54","1765.29192546584"
"29","2016","13","7833","7462","55794","38950","112","102206","20161216","0.133333333333333","30","0.6","912.553571428571"
"30","2016","14","5478","6855","40155","4698","84","51708","20161223","0.366666666666667","28","0.56","615.571428571429"
"31","2016","15","5828","4392","39791","3818","52","48001","20161230","0.166666666666667","28","0.56","923.096153846154"
"32","2016","16","0","0","0","0","0","0","20170106","0.233333333333333","28","0.56","NaN"
